cruise_id,expocode,facility,ID,IMO,platform,platform_version,site,time,latitude,longitude,platformHeading,platformCourse,windDirection,platformWindDirection,platformSpeed,windSpeed,platformWindSpeed,airPressure,airPressure2,airTemperature,dewTemperature,relativeHumidity,seaTemperature,salinity,conductivity,precipitationAmount,shortWaveAtmRadiation,longWaveAtmRadiation,photoActAtmRadiation,flag
Cruise_id undefined for now,EXPOCODE undefined for now,University of California at San Diego,KAOU,9075228,unknown at this time,unknown at this time,ROGER REVELLE,2016-11-12T00:00:00Z,6.67611,133.79704,348.71,350.1,308.8,338.1,4.01232,7.7,11.1,1009.26,1011.22,27.35,NaN,87.87,29.331,33.966,5.61291,28.5,93.95,442.079,543.1,ZZZZZZZZZZZZZZZZZZZZZZZZ
Cruise_id undefined for now,EXPOCODE undefined for now,University of California at San Diego,KAOU,9075228,unknown at this time,unknown at this time,ROGER REVELLE,2016-11-12T00:01:00Z,6.678203,133.79683,352.95,356.5,307.1,328.5,3.75512,8.5,11.5,1009.24,1011.2,27.3,NaN,87.75,29.334,33.963,5.61276,28.5,93.19,441.439,538.07,ZZZZZZZZZZZZZZZZZZZZZZZZ
Cruise_id undefined for now,EXPOCODE undefined for now,University of California at San Diego,KAOU,9075228,unknown at this time,unknown at this time,ROGER REVELLE,2016-11-12T00:02:00Z,6.680305,133.7967,357.13,359,304.4,326.1,3.858,8.8,11.6,1009.23,1011.19,27.29,NaN,87.68,29.338,33.946,5.61087,28.5,92.18,441.588,534.67,ZZZZZZZZZZZZZZZZZZZZZZZZ
Cruise_id undefined for now,EXPOCODE undefined for now,University of California at San Diego,KAOU,9075228,unknown at this time,unknown at this time,ROGER REVELLE,2016-11-12T00:03:00Z,6.682434,133.79683,5.1,6.5,299.8,316.6,3.96088,9.1,11.4,1009.19,1011.15,27.28,NaN,87.71,29.325,33.936,5.60781,28.5,91.55,442.638,531.76,ZZZZZZZZZZZZZZZZZZZZZZZZ
Cruise_id undefined for now,EXPOCODE undefined for now,University of California at San Diego,KAOU,9075228,unknown at this time,unknown at this time,ROGER REVELLE,2016-11-12T00:04:00Z,6.684544,133.7973,12.83,15,301.3,309.9,4.06376,9.3,11.2,1009.12,1011.08,27.29,NaN,87.8,29.317,33.913,5.60359,28.5,91.42,442.548,529.55,ZZZZZZZZZZZZZZZZZZZZZZZZ
Cruise_id undefined for now,EXPOCODE undefined for now,University of California at San Diego,KAOU,9075228,unknown at this time,unknown at this time,ROGER REVELLE,2016-11-12T00:05:00Z,6.686646,133.798,18.73,19.7,302.8,309,4.21808,8.7,10.5,1009.09,1011.05,27.34,NaN,87.99,29.312,33.902,5.60139,28.5,90.79,442.548,527.06,ZZZZZZZZZZZZZZZZZZZZZZZZ
Cruise_id undefined for now,EXPOCODE undefined for now,University of California at San Diego,KAOU,9075228,unknown at this time,unknown at this time,ROGER REVELLE,2016-11-12T00:06:00Z,6.688645,133.79898,26.69,28.4,298.2,299.8,4.3724,8.4,9.5,1009.08,1011.04,27.31,NaN,87.85,29.311,33.884,5.59881,28.6,90.54,443.228,524.74,ZZZZZZZZZZZZZZZZZZZZZZZZ
Cruise_id undefined for now,EXPOCODE undefined for now,University of California at San Diego,KAOU,9075228,unknown at this time,unknown at this time,ROGER REVELLE,2016-11-12T00:07:00Z,6.690521,133.80016,34.97,35,307.4,301.7,4.21808,8.7,9.8,1009.08,1011.04,27.3,NaN,87.98,29.313,33.866,5.59637,28.6,90.04,442.029,523.11,ZZZZZZZZZZZZZZZZZZZZZZZZ
Cruise_id undefined for now,EXPOCODE undefined for now,University of California at San Diego,KAOU,9075228,unknown at this time,unknown at this time,ROGER REVELLE,2016-11-12T00:08:00Z,6.692253,133.80157,37.78,40.8,301,291.7,4.06376,8.4,8.8,1009.07,1011.04,27.25,NaN,87.71,29.294,33.818,5.58728,28.6,89.66,443.198,520.27,ZZZZZZZZZZZZZZZZZZZZZZZZ
Cruise_id undefined for now,EXPOCODE undefined for now,University of California at San Diego,KAOU,9075228,unknown at this time,unknown at this time,ROGER REVELLE,2016-11-12T00:09:00Z,6.693958,133.8031,38.83,40,302.2,293.1,4.32096,7.9,8.3,1009.07,1011.03,27.35,NaN,88.19,29.287,33.799,5.58378,28.6,88.4,443.748,515.81,ZZZZZZZZZZZZZZZZZZZZZZZZ
